well_id,coor_x,coor_y
A-106,-45.77173300000001,-67.675479
A-113,-45.775784,-67.690876
A-114,-45.775366,-67.685375
A-118,-45.772633,-67.688638
A-119,-45.771097,-67.677427
A-127,-45.774606,-67.679197
A-48,-45.77568100000001,-67.716292
BS-1002,-45.69188,-67.439899
BS-1004,-45.69230600000001,-67.442548
BS-1006,-45.694219,-67.438399
C-100,-45.771251,-67.721826
C-102,-45.774115,-67.72011
C-104,-45.76980200000001,-67.716725
C-105,-45.765345,-67.717581
C-106,-45.767679,-67.722683
C-107,-45.76704400000001,-67.715735
C-110,-45.77115,-67.725787
C-112,-45.769904,-67.720287
C-114,-45.775565,-67.722626
C-116,-45.766781,-67.754934
C-118,-45.765881,-67.747352
C-119,-45.771052,-67.733921
C-120,-45.76942,-67.754756
C-121,-45.768611,-67.748914
C-123,-45.769052,-67.735797
C-125,-45.766868,-67.740214
C-128,-45.770786,-67.743185
C-129,-45.766877,-67.729871
C-132,-45.76592600000001,-67.725146
C-133,-45.770988,-67.747168
C-134,-45.77271,-67.741293
C-135,-45.771925,-67.737653
C-137,-45.77388899999999,-67.735833
C-28,-45.767331,-67.716381
C-57,-45.773317,-67.731937
C-59,-45.768378,-67.747092
D-137,-45.76811000000001,-67.696537
D-146,-45.75203400000001,-67.704809
D-203,-45.758046,-67.668756
D-204,-45.764499,-67.689959
D-205,-45.770225,-67.678862
D-211,-45.76244800000001,-67.66554
D-214,-45.770605,-67.672064
D-219,-45.760556,-67.694842
D-220,-45.755566,-67.668698
D-221,-45.75935999999999,-67.672325
D-224,-45.76678600000001,-67.707253
D-229,-45.762785,-67.704216
D-231,-45.766233,-67.669242
D-233,-45.767791,-67.665662
D-235,-45.766067,-67.690966
D-237,-45.77022000000001,-67.683576
D-241,-45.764083,-67.694218
D-244,-45.759832,-67.689145
D-246,-45.766949,-67.700331
D-257,-45.76647800000001,-67.675328
D-258,-45.76774699999999,-67.678388
D-261,-45.76801100000001,-67.709595
D-263,-45.763583,-67.705987
D-265,-45.748512,-67.672617
D-267,-45.771149,-67.712897
D-268,-45.759133,-67.713548
D-269,-45.757627,-67.709939
D-271,-45.75777000000001,-67.705985
D-272,-45.765701,-67.703488
